method,threshold,silver_cf_prec_mean,silver_cf_recall_mean
hybrid_topk,0.5,0.8595360311965301,0.864509967768891
hybrid_topk,0.6,0.9404122398631173,0.9418646293422466
hybrid_topk,0.7,0.977338744976324,0.9777963471409813
rule_based,0.5,0.8158947117106362,0.8240420198161633
rule_based,0.6,0.9288926027615296,0.9306434284350006
rule_based,0.7,0.9753292746010903,0.9758863554971947
unsupervised,0.5,0.9877641160319923,0.9883013011818074
unsupervised,0.6,0.9946878357407186,0.9948668974573236
unsupervised,0.7,0.9979109466396084,0.9979706338784767
