Method,N_segments,NonEmpty,Mean_k,Median_k,UniqueTerms,MultiwordRate,ShannonEntropy,HHI,InTextHitRate,ContextFit,N_seg
Rule-based,8533,0.9538263213406774,4.6035392007500295,4.0,14242,0.3118476655974747,11.847125741966325,0.0022052361968517733,0.8547351864568719,0.2676076292991638,8533
Unsupervised,8426,0.8655352480417755,2.0180394018514125,2.0,2276,0.023935544577746413,7.9986810206511905,0.013169255261511137,0.9063584563584564,0.24450437724590302,8426
Hybrid,8607,0.9482978970605321,2.1620773788776577,3.0,9231,0.3472513300016121,12.214167293561179,0.0005756798928830863,0.8878951237441802,0.2808672785758972,8607
