Method,N_segments,NonEmpty,Mean_k,Median_k,UniqueTerms,MultiwordRate,ShannonEntropy,HHI,InTextHitRate,ContextFit,N_seg
ABAE,8607,0.9525967235970721,2.563494829789706,3.0,8913,0.36915337200870196,12.19830991689133,0.0005153690286444157,0.7577550107736716,0.24613578617572784,8607
BERTopic,8607,0.9997676309980249,2.490879516672476,3.0,12927,0.5897663137273194,12.162762809417206,0.0031476333802313104,0.8437342630253728,0.29532235860824585,8607
BTM,8607,0.9742070407807598,2.5817357964447543,3.0,2743,0.02601143062868458,9.258490514970273,0.007018812523145536,0.9186444046909163,0.2363700419664383,8607
CTM,8607,0.9570117346345998,2.564075752294644,3.0,6909,0.3315057320222937,10.684886790752891,0.0037412248540727804,0.786856056007446,0.28351321816444397,8607
Hybrid,8607,0.9482978970605321,2.1620773788776577,3.0,9231,0.3472513300016121,12.214167293561179,0.0005756798928830863,0.8878951237441802,0.2808672785758972,8607
LDA,8607,0.9561984431276868,2.522597885442082,3.0,2786,0.015567428150331615,9.659600075949964,0.005650899780553251,0.9243215876873229,0.2212228924036026,8607
NMF,8607,0.9544556756128733,2.441268734750784,3.0,2508,0.01575290310298877,9.382863082853373,0.0049196140727505,0.9156624061675797,0.218087300658226,8607
Top2Vec,8607,0.9997676309980249,2.9788544208202627,3.0,4091,0.021334685440149773,9.43062838201949,0.006203844797759742,0.8712957582800698,0.21735216677188873,8607
